id,left-weight,left-distance,right-weight,right-distance,binaryClass
1,1,1,1,1,N
2,1,1,1,2,N
3,1,1,1,3,N
4,1,1,1,4,N
5,1,1,1,5,N
6,1,1,2,1,N
7,1,1,2,2,N
8,1,1,2,3,N
9,1,1,2,4,N
10,1,1,2,5,N
11,1,1,3,1,N
12,1,1,3,2,N
13,1,1,3,3,N
14,1,1,3,4,N
15,1,1,3,5,N
16,1,1,4,1,N
17,1,1,4,2,N
18,1,1,4,3,N
19,1,1,4,4,N
20,1,1,4,5,N
21,1,1,5,1,N
22,1,1,5,2,N
23,1,1,5,3,N
24,1,1,5,4,N
25,1,1,5,5,N
26,1,2,1,1,P
27,1,2,1,2,N
28,1,2,1,3,N
29,1,2,1,4,N
30,1,2,1,5,N
31,1,2,2,1,N
32,1,2,2,2,N
33,1,2,2,3,N
34,1,2,2,4,N
35,1,2,2,5,N
36,1,2,3,1,N
37,1,2,3,2,N
38,1,2,3,3,N
39,1,2,3,4,N
40,1,2,3,5,N
41,1,2,4,1,N
42,1,2,4,2,N
43,1,2,4,3,N
44,1,2,4,4,N
45,1,2,4,5,N
46,1,2,5,1,N
47,1,2,5,2,N
48,1,2,5,3,N
49,1,2,5,4,N
50,1,2,5,5,N
51,1,3,1,1,P
52,1,3,1,2,P
53,1,3,1,3,N
54,1,3,1,4,N
55,1,3,1,5,N
56,1,3,2,1,P
57,1,3,2,2,N
58,1,3,2,3,N
59,1,3,2,4,N
60,1,3,2,5,N
61,1,3,3,1,N
62,1,3,3,2,N
63,1,3,3,3,N
64,1,3,3,4,N
65,1,3,3,5,N
66,1,3,4,1,N
67,1,3,4,2,N
68,1,3,4,3,N
69,1,3,4,4,N
70,1,3,4,5,N
71,1,3,5,1,N
72,1,3,5,2,N
73,1,3,5,3,N
74,1,3,5,4,N
75,1,3,5,5,N
76,1,4,1,1,P
77,1,4,1,2,P
78,1,4,1,3,P
79,1,4,1,4,N
80,1,4,1,5,N
81,1,4,2,1,P
82,1,4,2,2,N
83,1,4,2,3,N
84,1,4,2,4,N
85,1,4,2,5,N
86,1,4,3,1,P
87,1,4,3,2,N
88,1,4,3,3,N
89,1,4,3,4,N
90,1,4,3,5,N
91,1,4,4,1,N
92,1,4,4,2,N
93,1,4,4,3,N
94,1,4,4,4,N
95,1,4,4,5,N
96,1,4,5,1,N
97,1,4,5,2,N
98,1,4,5,3,N
99,1,4,5,4,N
100,1,4,5,5,N
101,1,5,1,1,P
102,1,5,1,2,P
103,1,5,1,3,P
104,1,5,1,4,P
105,1,5,1,5,N
106,1,5,2,1,P
107,1,5,2,2,P
108,1,5,2,3,N
109,1,5,2,4,N
110,1,5,2,5,N
111,1,5,3,1,P
112,1,5,3,2,N
113,1,5,3,3,N
114,1,5,3,4,N
115,1,5,3,5,N
116,1,5,4,1,P
117,1,5,4,2,N
118,1,5,4,3,N
119,1,5,4,4,N
120,1,5,4,5,N
121,1,5,5,1,N
122,1,5,5,2,N
123,1,5,5,3,N
124,1,5,5,4,N
125,1,5,5,5,N
126,2,1,1,1,P
127,2,1,1,2,N
