id,Wifes_age,Wifes_education,Husbands_education,Number_of_children_ever_born,Wifes_religion,Wifes_now_working?,Husbands_occupation,Standard-of-living_index,Media_exposure,binaryClass
1,24,2,3,3,1,1,2,3,0,P
2,45,1,3,10,1,1,3,4,0,P
3,43,2,3,7,1,1,3,4,0,P
4,42,3,2,9,1,1,3,3,0,P
5,36,3,3,8,1,1,3,2,0,P
6,19,4,4,0,1,1,3,3,0,P
7,38,2,3,6,1,1,3,2,0,P
8,21,3,3,1,1,0,3,2,0,P
9,27,2,3,3,1,1,3,4,0,P
10,45,1,1,8,1,1,2,2,1,P
11,38,1,3,2,1,0,3,3,1,P
12,42,1,4,4,1,1,1,3,0,P
13,44,4,4,1,1,0,1,4,0,P
14,42,2,4,1,1,0,3,3,0,P
15,38,3,4,2,1,1,2,3,0,P
16,26,2,4,0,1,1,4,1,0,P
17,48,1,1,7,1,1,2,4,0,P
18,39,2,2,6,1,1,2,4,0,P
19,37,2,2,8,1,1,2,3,0,P
20,39,2,1,5,1,1,2,1,1,P
21,26,3,4,1,1,0,4,1,0,P
22,24,3,4,0,1,0,3,1,0,P
23,46,4,4,1,0,1,1,4,0,P
24,39,4,4,1,1,1,1,4,0,P
25,48,4,4,5,1,1,1,4,0,P
26,40,2,4,8,1,1,3,3,0,P
27,38,4,4,1,1,0,1,4,0,P
28,29,4,4,0,1,0,1,4,0,P
29,24,4,4,0,1,0,2,2,0,P
30,43,1,2,8,1,1,2,4,0,P
31,31,3,4,2,1,1,1,4,0,P
32,31,4,4,2,1,1,3,2,0,P
33,26,2,4,0,1,0,1,2,0,P
34,33,2,2,2,1,1,3,1,0,P
35,24,2,3,1,1,1,3,3,0,P
36,42,1,3,9,1,1,3,2,1,P
37,43,1,2,8,1,0,3,1,0,P
38,25,3,3,4,1,1,3,2,0,P
39,42,2,2,3,1,1,3,4,0,P
40,28,2,2,1,1,1,2,4,0,P
41,28,1,1,3,1,1,3,1,0,P
42,47,2,3,0,1,0,1,3,0,P
43,48,2,4,2,1,1,1,3,0,P
44,40,4,4,2,0,1,1,4,0,P
45,28,2,2,1,1,1,3,2,0,P
46,25,1,4,1,1,1,2,1,0,P
47,32,4,4,2,1,1,2,3,0,P
48,45,4,4,0,1,1,2,4,0,P
49,26,4,4,1,1,1,1,4,0,P
50,26,4,4,0,1,0,1,4,0,P
51,31,4,4,0,1,0,1,4,0,P
52,49,4,4,7,0,1,2,4,0,P
53,40,3,4,8,1,1,3,3,0,P
54,34,4,4,1,0,0,2,3,0,P
55,36,2,4,5,1,1,2,3,0,P
56,20,2,2,2,1,1,2,2,1,P
57,43,4,4,5,1,0,1,4,0,P
58,37,3,4,7,1,1,2,1,0,P
59,21,2,3,0,1,1,3,4,0,P
60,49,4,4,6,1,1,1,2,0,P
61,42,3,3,10,1,1,3,3,0,P
62,20,2,3,1,1,1,2,3,0,P
63,47,1,2,2,1,0,1,3,0,P
64,22,2,3,1,1,1,2,1,0,P
65,27,2,4,1,1,0,1,3,0,P
66,24,2,4,1,1,1,3,1,0,P
67,44,4,2,8,1,1,3,3,0,P
68,30,2,3,3,1,1,3,1,0,P
69,23,3,4,2,1,1,3,4,0,P
70,25,4,4,1,1,0,3,3,0,P
71,47,2,3,4,1,1,2,3,0,P
72,48,2,3,8,1,1,1,4,0,P
73,29,2,3,1,1,1,1,1,0,P
74,29,2,3,1,1,1,1,2,0,P
75,21,3,4,0,1,1,2,3,0,P
76,21,3,4,1,1,1,2,3,0,P
77,29,4,4,0,1,0,2,4,0,P
78,45,3,4,3,1,1,1,4,0,P
79,33,2,3,2,1,1,3,2,0,P
80,38,4,4,1,1,0,1,4,0,P
81,24,4,4,0,0,1,1,4,0,P
82,49,4,4,6,0,0,1,4,0,P
83,24,2,4,1,1,0,4,4,0,P
84,28,4,4,0,0,0,1,4,0,P
85,30,4,4,2,1,1,1,4,0,P
86,33,4,4,2,1,1,1,4,0,P
87,25,4,4,1,1,1,1,3,0,P
88,35,4,4,3,0,1,1,4,0,P
89,27,2,4,4,1,1,1,4,0,P
90,24,2,2,3,1,0,2,1,0,P
91,25,2,3,0,1,1,2,1,0,P
92,46,2,4,6,1,1,1,4,0,P
93,26,2,2,3,1,1,2,1,0,P
94,38,2,2,1,1,0,3,2,0,P
95,47,1,2,3,1,1,1,3,0,P
96,41,1,3,10,1,1,2,3,1,P
97,41,2,3,1,1,0,2,3,0,P
98,28,4,4,5,1,1,2,1,0,P
99,17,2,2,3,1,1,3,1,0,P
100,27,2,3,5,1,1,2,1,0,P
101,27,1,2,4,1,1,3,1,1,P
102,19,2,3,0,1,0,2,2,0,P
103,27,2,4,3,1,0,3,2,0,P
104,26,4,3,4,1,1,2,3,0,P
105,23,2,4,2,1,1,3,3,0,P
106,40,3,3,3,1,1,3,2,0,P
107,22,4,4,0,1,1,1,1,0,P
108,44,3,4,4,1,0,1,3,0,P
109,29,2,3,2,1,1,3,1,0,P
110,26,2,3,3,1,1,3,1,0,P
111,45,4,4,1,1,0,3,3,0,P
112,32,3,3,7,1,0,2,3,0,P
113,21,4,4,1,1,1,1,4,0,P
114,31,2,2,4,1,1,3,3,0,P
115,21,3,4,0,1,1,1,3,0,P
116,37,4,4,1,1,1,1,4,0,P
117,34,4,4,3,0,0,3,3,0,P
118,44,3,4,1,1,1,1,3,0,P
119,49,4,3,5,1,1,2,3,0,P
120,26,2,3,2,1,1,3,3,0,P
121,38,1,2,1,1,1,2,4,1,P
122,36,2,3,5,1,1,2,3,0,P
123,26,3,4,2,1,1,3,3,0,P
124,20,2,3,1,0,1,3,2,0,P
