Dataset,Mean F1 BB train,Var F1 BB train,Mean F1 BB test,Var F1 BB test,Mean F1 train,Var F1 train,Mean F1 test,Var F1 test
new_climate-model,1.0,0.0,0.881,0.001,0.898,0.0,0.918,0.001
new_balance-scale,0.999,0.0,0.979,0.0,0.792,0.0,0.681,0.016
new_ozone-level-8hr,1.0,0.0,0.935,0.0,0.919,0.0,0.94,0.0
new_cmc,0.995,0.0,0.981,0.0,0.865,0.0,0.37,0.052
new_tic-tac-toe,1.0,0.0,1.0,0.0,0.994,0.0,0.611,0.036
new_hill-valley,0.948,0.0,0.942,0.0,0.583,0.001,0.542,0.005
new_pc1,1.0,0.0,0.991,0.0,0.976,0.0,0.78,0.041
new_kc1,1.0,0.0,0.995,0.0,0.988,0.0,0.135,0.081
new_kc2,1.0,0.0,0.992,0.0,0.975,0.0,0.801,0.011
new_blood-transfusion,0.858,0.0,0.729,0.002,0.846,0.001,0.712,0.022
new_wdbc,1.0,0.0,0.974,0.001,0.931,0.0,0.919,0.001
new_ilpd,1.0,0.0,0.665,0.003,0.71,0.0,0.666,0.004
new_diabetes,1.0,0.0,0.618,0.004,0.744,0.0,0.632,0.003
new_qsar-biodeg,1.0,0.0,0.974,0.0,0.906,0.001,0.753,0.08
new_splice,1.0,0.0,0.956,0.0,0.793,0.002,0.76,0.008
new_vehicle,1.0,0.0,0.983,0.0,0.836,0.001,0.838,0.001
