Dataset,Mean F1 BB train,Var F1 BB train,Mean F1 BB test,Var F1 BB test,Mean F1 train,Var F1 train,Mean F1 test,Var F1 test
new_climate-model,1.0,0.0,0.875,0.0,0.9,0.0,0.951,0.0
new_balance-scale,0.999,0.0,0.922,0.001,0.8,0.0,0.69,0.011
new_ozone-level-8hr,0.993,0.0,0.932,0.0,0.928,0.0,0.962,0.0
new_cmc,1.0,0.0,0.998,0.0,0.847,0.001,0.6,0.078
new_tic-tac-toe,1.0,0.0,1.0,0.0,0.997,0.0,0.793,0.051
new_hill-valley,0.993,0.0,0.807,0.001,0.55,0.0,0.533,0.005
new_pc1,0.999,0.0,0.997,0.0,0.981,0.0,0.776,0.059
new_kc1,1.0,0.0,0.998,0.0,0.978,0.001,0.744,0.146
new_kc2,0.999,0.0,0.994,0.0,0.98,0.0,0.816,0.014
new_blood-transfusion,0.882,0.0,0.757,0.001,0.872,0.0,0.734,0.045
new_wdbc,1.0,0.0,0.949,0.001,0.926,0.0,0.887,0.001
new_qsar-biodeg,1.0,0.0,0.998,0.0,0.911,0.0,0.617,0.131
new_vehicle,0.999,0.0,0.946,0.001,0.848,0.0,0.829,0.001
new_splice,0.993,0.0,0.963,0.0,0.782,0.002,0.791,0.004
new_ilpd,0.991,0.0,0.644,0.004,0.71,0.0,0.746,0.006
new_diabetes,0.98,0.0,0.674,0.004,0.752,0.0,0.74,0.003
