Dataset,Mean F1 BB train,Var F1 BB train,Mean F1 BB test,Var F1 BB test,Mean F1 train,Var F1 train,Mean F1 test,Var F1 test
new_ilpd,1.0,0.0,0.664,0.0,0.735,0.0,0.772,0.001
new_climate-model,1.0,0.0,0.871,0.0,0.897,0.0,0.961,0.0
new_balance-scale,1.0,0.0,0.915,0.002,0.791,0.0,0.64,0.036
new_ozone-level-8hr,1.0,0.0,0.929,0.0,0.918,0.0,0.972,0.0
new_cmc,1.0,0.0,0.998,0.0,0.863,0.001,0.486,0.065
new_tic-tac-toe,1.0,0.0,1.0,0.0,0.999,0.0,0.929,0.022
new_hill-valley,1.0,0.0,0.818,0.0,0.546,0.0,0.539,0.001
new_pc1,1.0,0.0,0.998,0.0,0.979,0.001,0.836,0.037
new_kc1,1.0,0.0,0.999,0.0,0.985,0.0,0.423,0.218
new_kc2,1.0,0.0,0.991,0.0,0.978,0.0,0.902,0.015
new_blood-transfusion,0.987,0.0,0.737,0.001,0.769,0.0,0.421,0.092
new_wdbc,1.0,0.0,0.954,0.0,0.933,0.0,0.928,0.002
new_qsar-biodeg,1.0,0.0,0.998,0.0,0.916,0.0,0.655,0.102
new_vehicle,1.0,0.0,0.947,0.0,0.848,0.001,0.84,0.003
new_splice,1.0,0.0,0.965,0.0,0.794,0.002,0.803,0.003
new_ilpd,1.0,0.0,0.654,0.003,0.715,0.0,0.789,0.006
new_diabetes,1.0,0.0,0.671,0.003,0.75,0.0,0.747,0.002
