Dataset,Mean F1 BB train,Var F1 BB train,Mean F1 BB test,Var F1 BB test,Mean F1 train,Var F1 train,Mean F1 test,Var F1 test
new_credit-g,1.0,0.0,0.717,0.002,0.692,0.0,0.725,0.004
new_diabetes,1.0,0.0,0.635,0.002,0.666,0.0,0.635,0.004
new_eeg-eye-state,0.95,0.001,0.948,0.001,0.737,0.001,0.733,0.001
new_ilpd,1.0,0.0,0.668,0.002,0.709,0.0,0.717,0.002
new_qsar-biodeg,1.0,0.0,0.974,0.0,0.914,0.0,0.894,0.001
new_splice,1.0,0.0,0.951,0.0,0.757,0.002,0.751,0.002
new_vehicle,1.0,0.0,0.987,0.0,0.787,0.0,0.775,0.003
new_balance-scale,0.999,0.0,0.981,0.0,0.839,0.0,0.781,0.006
new_blood-transfusion,0.856,0.0,0.719,0.001,0.862,0.001,0.846,0.004
new_climate-model,1.0,0.0,0.886,0.001,0.894,0.0,0.907,0.002
new_cmc,0.997,0.0,0.98,0.0,0.841,0.0,0.842,0.001
new_hill-valley,0.938,0.0,0.93,0.001,0.69,0.001,0.672,0.002
new_kc1,1.0,0.0,0.996,0.0,0.978,0.001,0.976,0.001
new_kc2,0.999,0.0,0.99,0.0,0.975,0.0,0.979,0.001
new_ozone-level-8hr,1.0,0.0,0.933,0.0,0.919,0.0,0.948,0.0
new_pc1,0.999,0.0,0.989,0.0,0.969,0.001,0.969,0.001
new_tic-tac-toe,1.0,0.0,1.0,0.0,0.986,0.0,0.983,0.0
new_wdbc,1.0,0.0,0.975,0.0,0.901,0.0,0.889,0.001
