Dataset,Mean F1 BB train,Var F1 BB train,Mean F1 BB test,Var F1 BB test,Mean F1 train,Var F1 train,Mean F1 test,Var F1 test
new_credit-g,0.969,0.0,0.749,0.001,0.717,0.0,0.74,0.002
new_diabetes,0.98,0.0,0.674,0.004,0.686,0.0,0.713,0.002
new_eeg-eye-state,0.999,0.0,0.997,0.0,0.72,0.0,0.718,0.0
new_ilpd,0.991,0.0,0.644,0.004,0.717,0.0,0.793,0.003
new_qsar-biodeg,1.0,0.0,0.998,0.0,0.911,0.0,0.912,0.001
new_splice,0.993,0.0,0.963,0.0,0.733,0.007,0.744,0.008
new_vehicle,0.999,0.0,0.946,0.001,0.805,0.0,0.814,0.003
new_balance-scale,0.999,0.0,0.922,0.001,0.843,0.001,0.825,0.001
new_blood-transfusion,0.882,0.0,0.757,0.001,0.883,0.0,0.892,0.001
new_climate-model,1.0,0.0,0.875,0.0,0.898,0.0,0.963,0.0
new_cmc,1.0,0.0,0.998,0.0,0.843,0.001,0.851,0.001
new_hill-valley,0.993,0.0,0.807,0.001,0.641,0.0,0.643,0.002
new_kc1,1.0,0.0,0.998,0.0,0.966,0.002,0.969,0.002
new_kc2,0.999,0.0,0.994,0.0,0.976,0.0,0.982,0.0
new_monks-problems-1,0.675,0.0,0.139,0.001,0.659,0.0,0.686,0.002
new_ozone-level-8hr,0.993,0.0,0.932,0.0,0.928,0.0,0.966,0.0
new_pc1,0.999,0.0,0.997,0.0,0.974,0.001,0.973,0.001
new_tic-tac-toe,1.0,0.0,1.0,0.0,0.988,0.0,0.987,0.0
new_wdbc,1.0,0.0,0.949,0.001,0.908,0.0,0.899,0.002
