Dataset,Mean F1 BB train,Var F1 BB train,Mean F1 BB test,Var F1 BB test,Mean F1 train,Var F1 train,Mean F1 test,Var F1 test
new_climate-model,1.0,0.0,0.871,0.0,0.894,0.0,0.985,0.0
new_climate-model,1.0,0.0,0.872,0.0,0.895,0.0,0.982,0.0
new_steel-plates-fault,1.0,0.0,0.999,0.0,0.961,0.001,0.954,0.003
new_monks-problems-1,0.983,0.0,0.123,0.001,0.538,0.0,0.62,0.002
new_balance-scale,1.0,0.0,0.902,0.002,0.838,0.0,0.833,0.004
new_ozone-level-8hr,1.0,0.0,0.932,0.0,0.919,0.0,0.972,0.0
new_cmc,1.0,0.0,0.998,0.0,0.849,0.0,0.844,0.001
new_tic-tac-toe,1.0,0.0,1.0,0.0,0.993,0.0,0.992,0.0
new_hill-valley,1.0,0.0,0.815,0.001,0.643,0.0,0.663,0.003
new_monks-problems-2,0.979,0.0,0.471,0.004,0.567,0.0,0.555,0.004
new_pc1,1.0,0.0,0.998,0.0,0.979,0.0,0.98,0.0
new_kc1,1.0,0.0,0.999,0.0,0.961,0.001,0.961,0.002
new_kc2,1.0,0.0,0.988,0.0,0.964,0.001,0.962,0.001
new_blood-transfusion,0.988,0.0,0.731,0.001,0.78,0.0,0.844,0.004
new_spambase,1.0,0.0,1.0,0.0,0.972,0.001,0.973,0.001
new_wdbc,1.0,0.0,0.95,0.0,0.913,0.0,0.918,0.001
new_credit-g,1.0,0.0,0.752,0.001,0.689,0.0,0.759,0.003
new_diabetes,1.0,0.0,0.652,0.002,0.667,0.0,0.752,0.004
new_eeg-eye-state,1.0,0.0,0.998,0.0,0.718,0.0,0.717,0.0
new_ilpd,1.0,0.0,0.65,0.002,0.707,0.0,0.773,0.004
new_qsar-biodeg,1.0,0.0,0.998,0.0,0.917,0.0,0.903,0.001
new_splice,1.0,0.0,0.965,0.0,0.72,0.003,0.721,0.003
new_vehicle,1.0,0.0,0.947,0.0,0.805,0.001,0.811,0.003
